number,value,datetime_start,datetime_complete,duration,params_ema_span,params_gamma,params_imbalance_skew_factor,params_inventory_skew_factor,params_k,params_max_drawdown_pct,params_max_inventory_lots,params_range_spread_multiplier,params_tau,params_trend_size_multiplier,params_trend_spread_multiplier,state
61,0.05555752973788837,2026-07-19 20:27:36.983183,2026-07-19 20:27:37.433391,0 days 00:00:00.450208,37,0.16207043203980961,0.7221604758205449,0.7814643943182413,3.1660620758822566,0.053744349144413964,1,1.0756830402507467,1.1464090280234287,0.6208910537440788,2.7611149343082375,PRUNED
62,-0.3142950302880573,2026-07-19 20:27:37.434302,2026-07-19 20:27:37.743692,0 days 00:00:00.309390,15,0.23158058470140655,0.7938721203231089,0.7089995512677104,2.814721321094755,0.04845040589719873,1,1.0950000135544085,1.083514429606037,0.5547724300654876,2.599833140119255,PRUNED
63,-3.2291504800969664,2026-07-19 20:27:37.744430,2026-07-19 20:27:38.546499,0 days 00:00:00.802069,42,0.1357094295235854,0.8548902602518759,0.5820767868181107,3.322245701537444,0.05660188138244741,1,1.117643584132558,1.2909681794931787,0.6179343989016313,2.9083674370124095,COMPLETE
64,-0.00403629319247481,2026-07-19 20:27:38.547569,2026-07-19 20:27:39.010084,0 days 00:00:00.462515,39,0.31176946401326744,1.0231853903219608,1.0217224378383027,3.193354896352454,0.0346237420602804,1,1.1834774467015772,1.210883180351851,0.5218097270131847,2.717189973432796,PRUNED
65,-0.22242560797040653,2026-07-19 20:27:39.010804,2026-07-19 20:27:39.311224,0 days 00:00:00.300420,36,0.5824793122873939,0.5590922378661579,0.7918888467832368,3.5128125072113834,0.06573598008388783,1,1.1412310973244795,1.6654877039162563,0.47022890196117156,2.4814025314060832,PRUNED
66,-3.1273559695061888,2026-07-19 20:27:39.311827,2026-07-19 20:27:40.133948,0 days 00:00:00.822121,31,0.051104302706642284,0.8478474012765486,1.9485712954334493,2.4939234192189743,0.054322888122418,1,1.163080149686974,1.4129699893319252,0.6023175995114062,1.1586431250032365,COMPLETE
67,-0.1859456032085524,2026-07-19 20:27:40.134562,2026-07-19 20:27:40.443608,0 days 00:00:00.309046,22,0.2642814132291905,1.1570534321176953,0.8509973120935022,3.7716462690575265,0.04703107948966842,1,1.0853248422952757,1.7637013797959136,0.6887667681522887,2.997256379284584,PRUNED
68,-0.02413989233439054,2026-07-19 20:27:40.444414,2026-07-19 20:27:40.895600,0 days 00:00:00.451186,45,0.9213127156420854,0.20682125493674108,0.6249472580853566,4.288262074183375,0.05898578050503499,1,1.1286293170582626,0.8387535272897773,0.7321494930691679,2.808575597466784,PRUNED
69,-0.5050474913402871,2026-07-19 20:27:40.896267,2026-07-19 20:27:41.290610,0 days 00:00:00.394343,40,0.19670971584524255,1.293321458229189,1.7608531153983873,4.47727600120397,0.07040965677176039,2,1.055387611950571,1.0179720785323447,0.8050676153369746,2.411208694118216,PRUNED
70,-2.0126506670490842,2026-07-19 20:27:41.291365,2026-07-19 20:27:42.042421,0 days 00:00:00.751056,43,0.519092614849088,0.2627155992630574,2.3724241103908943,4.603720910757577,0.0513254984524077,1,1.0220875825910185,1.1476834650015464,0.5651163484455671,2.6371219796868277,COMPLETE
71,0.07452843771370586,2026-07-19 20:27:42.043190,2026-07-19 20:27:42.496969,0 days 00:00:00.453779,44,0.49019512339985394,0.25803198461232735,2.375386667668974,4.868384433783005,0.051228978440077094,1,1.0279663938461014,1.148392509149261,0.5615432451155508,2.63758985289392,PRUNED
72,-2.2314096445912455,2026-07-19 20:27:42.498006,2026-07-19 20:27:43.346072,0 days 00:00:00.848066,42,0.5977494822154982,0.1362146265000668,0.5006425798083982,4.13738553009626,0.04419335051976572,1,1.1835573632447898,0.9660860144245104,0.5286100093010919,2.5539221212390775,COMPLETE
73,-0.2761811214381182,2026-07-19 20:27:43.346797,2026-07-19 20:27:43.785848,0 days 00:00:00.439051,44,0.6138274804440934,0.08731161998091866,2.1914610679309336,4.600495977207314,0.04311901663781492,1,1.1868305434595858,0.9562672028009027,0.49320881612401213,2.2775596549523147,PRUNED
74,-0.32329964399626787,2026-07-19 20:27:43.786551,2026-07-19 20:27:44.097723,0 days 00:00:00.311172,46,0.4154588698039507,0.09716463077970738,0.551667284907583,4.405613610806187,0.03898760441195803,1,0.9693612402832464,0.892045344370963,0.5173950595720839,2.553894094860722,PRUNED
75,-0.10669485094317963,2026-07-19 20:27:44.098322,2026-07-19 20:27:44.641224,0 days 00:00:00.542902,42,0.5447888042209624,0.003213213749608812,0.5027139346660893,4.107112084370107,0.033925637181575395,1,0.9117959979293562,0.7570709092006281,0.5355269210611651,2.393282939974506,PRUNED
76,-3.493171786215354,2026-07-19 20:27:44.641932,2026-07-19 20:27:45.393544,0 days 00:00:00.751612,41,0.7730964157278185,0.1351828000120102,1.9736005072622693,3.9381160969215685,0.046118482357779274,1,1.1995556105470588,1.2574603209347421,0.5775395399647116,2.4836094633122157,COMPLETE
77,-0.1283838331995497,2026-07-19 20:27:45.394504,2026-07-19 20:27:45.847728,0 days 00:00:00.453224,49,0.6218859472945306,0.33029261847679403,2.1017635548542675,4.192638133347875,0.03770712607953607,1,1.1579734184528148,1.5127067576959772,0.45100502834662604,2.6742036143426096,PRUNED
78,-0.07015058919735319,2026-07-19 20:27:45.848340,2026-07-19 20:27:46.397296,0 days 00:00:00.548956,46,0.3295116865297495,0.2515732818794717,1.3519052310799786,4.952769479054035,0.06163506430221364,1,1.1101454517469431,1.0507438488143608,0.4772899664673042,2.876947731469322,PRUNED
79,0.09083087026679815,2026-07-19 20:27:46.398233,2026-07-19 20:27:46.881389,0 days 00:00:00.483156,27,0.39729730606916924,0.4196862371079346,2.355622337156619,4.713243408807476,0.041896179446754986,1,0.6334843557878638,0.9766853584412326,0.5305722797956002,2.5802663246548727,PRUNED
80,-3.099732600328476,2026-07-19 20:27:46.882013,2026-07-19 20:27:47.732392,0 days 00:00:00.850379,43,0.7486789759604958,0.1707543027457994,2.5037802058864873,4.391068748898359,0.04902671163467903,1,0.8899364273633711,1.339196165853318,0.6483828324837804,2.8019977014954467,COMPLETE
81,-0.14953311238684644,2026-07-19 20:27:47.733025,2026-07-19 20:27:48.134038,0 days 00:00:00.401013,38,0.5270822546710208,0.5971907835761007,0.620071472981589,3.583669987033849,0.05617834112284941,1,1.1430979008016788,1.1224149159340422,0.6276453620618502,2.7204084202032774,PRUNED
82,-3.2387117711359603,2026-07-19 20:27:48.134775,2026-07-19 20:27:48.902861,0 days 00:00:00.768086,40,0.44677841184207073,0.3286433538265634,0.7615115332154139,4.556328842880741,0.0674533516276536,1,1.1711297228364317,1.2351163819209534,0.5654621587428392,2.188299991760724,COMPLETE
83,-0.4849023517301066,2026-07-19 20:27:48.903679,2026-07-19 20:27:49.344271,0 days 00:00:00.440592,43,0.28072254992745277,0.5016803669050649,0.9155828308158915,3.7907483777420983,0.05061450773839225,1,0.9805010365489595,1.1568506851716422,0.6655661834602143,2.92829081109132,PRUNED
84,-2.8573466248502917,2026-07-19 20:27:49.344948,2026-07-19 20:27:50.188850,0 days 00:00:00.843902,39,0.3540030569320461,0.9753797194941296,2.643568724527469,3.434382403455821,0.05407059221612644,1,1.098746790684984,1.102407620146851,0.5925467737174417,2.6519976571851913,COMPLETE
85,-0.41405972741983,2026-07-19 20:27:50.189586,2026-07-19 20:27:50.483938,0 days 00:00:00.294352,37,0.8378777178359815,0.8824160118643887,2.230952586316021,3.087538145368648,0.04527437784540703,2,0.9356400840648423,1.280774659145873,0.5088025986490323,2.851165844477853,PRUNED
86,-0.3220854787542271,2026-07-19 20:27:50.484809,2026-07-19 20:27:50.936830,0 days 00:00:00.452021,25,0.6602843070162359,1.075376389833653,0.7088480993209585,4.126617382892494,0.032936798264718216,1,1.1245109729589828,1.8566475323018674,0.5534035250101402,2.51231091616583,PRUNED
87,-0.3728106231997357,2026-07-19 20:27:50.937469,2026-07-19 20:27:51.324318,0 days 00:00:00.386849,29,0.8951300984119409,0.7399381357521122,1.1894366833878276,1.4943879900704975,0.07578388854888907,1,1.1781929012029693,1.7876080713684193,0.43579149708215126,2.744432942069844,PRUNED
88,-0.4322245600560207,2026-07-19 20:27:51.325054,2026-07-19 20:27:51.797791,0 days 00:00:00.472737,41,0.2458313988454674,0.4140755439386195,2.4533522653888706,0.7532237615480375,0.03706741343288178,2,1.0442284676856362,1.999890519414903,0.603085177676351,2.317999626402346,PRUNED
89,-0.07368154244962057,2026-07-19 20:27:51.798942,2026-07-19 20:27:52.260480,0 days 00:00:00.461538,50,0.4811317906605387,0.2765433405529044,2.051353489030812,4.271942129258112,0.05981459373799492,1,0.7452293095150897,1.0659967926021698,0.9352264289904827,2.5888045238464987,PRUNED
90,-0.17674355391833046,2026-07-19 20:27:52.261186,2026-07-19 20:27:52.739660,0 days 00:00:00.478474,46,0.17869784131012062,0.057081997407785634,2.3061804880441246,3.6676358163868716,0.040529816140035806,1,1.1570164433231316,1.403559865935439,0.49262915385938916,2.9592540045892815,PRUNED
